ID_HerramientasQS,NumeroSerie,NumeroReparacion,Tipo,Fabricante,Modelo,Ejecución,Estado
1,09053007,09053007,Destornillador EC,AMT,ECR220SDWR200DWA200SO240,husillo / Spindel,en el servicio / im Betrieb
10,09060380,100096,Destornillador EC,AMT,HCX2150WV12L,Atornillador angular / Winkelschrauber,en el servicio / im Betrieb
100,09060925,100081,Destornillador EC,AMT,HCX1039WV38,Atornillador angular / Winkelschrauber,en mantenimiento / Wartung/Rep
1000,200249,200249,Destornilladores (general),Desoutter,ELS8-800-P,Atornillador pistola / Pistolenschrauber,en mantenimiento / Wartung/Rep
1001,200250,200250,Destornilladores (general),Desoutter,ELS8-800-P,Atornillador pistola / Pistolenschrauber,en el servicio / im Betrieb
1002,200251,200251,Destornilladores (general),Desoutter,ELS8-800-P,Atornillador pistola / Pistolenschrauber,en mantenimiento / Wartung/Rep
1003,200252,200252,Destornilladores (general),Desoutter,ELS8-800-P,Atornillador pistola / Pistolenschrauber,en el servicio / im Betrieb
1004,200253,200253,Destornilladores (general),Desoutter,ELS8-800-P,Atornillador pistola / Pistolenschrauber,en mantenimiento / Wartung/Rep
1005,200254,200254,Destornilladores (general),Desoutter,ELS8-800-P,Atornillador pistola / Pistolenschrauber,en el servicio / im Betrieb
1006,200255,200255,Destornilladores (general),Desoutter,ELS8-800-P,Atornillador pistola / Pistolenschrauber,en el servicio / im Betrieb
1007,200256,200256,Destornilladores (general),Desoutter,ELS8-800-P,Atornillador pistola / Pistolenschrauber,en el servicio / im Betrieb
1008,200257,200257,Destornilladores (general),Desoutter,ELS30-300-A,Atornillador angular / Winkelschrauber,en el servicio / im Betrieb
1009,200258,200258,Destornilladores (general),Desoutter,ELS30-300-A,Atornillador angular / Winkelschrauber,en el servicio / im Betrieb
101,09060926,100112,Destornillador EC,AMT,HCX1039WV38,Atornillador angular / Winkelschrauber,en el servicio / im Betrieb
1010,200259,200259,Destornilladores (general),Desoutter,ELS30-300-A,Atornillador angular / Winkelschrauber,en mantenimiento / Wartung/Rep
1011,200260,200260,Destornilladores (general),Desoutter,ELS30-300-A,Atornillador angular / Winkelschrauber,en mantenimiento / Wartung/Rep
1012,200261,200261,Destornilladores (general),Desoutter,ELS30-300-A,Atornillador angular / Winkelschrauber,en el servicio / im Betrieb
1013,200262,200262,Destornilladores (general),Desoutter,ELS30-300-A,Atornillador angular / Winkelschrauber,en mantenimiento / Wartung/Rep
1014,200263,200263,Destornilladores (general),Desoutter,ELS30-300-A,Atornillador angular / Winkelschrauber,en el servicio / im Betrieb
1015,200264,200264,Destornilladores (general),Desoutter,ELS30-300-A,Atornillador angular / Winkelschrauber,en el servicio / im Betrieb
1016,200265,200265,Destornilladores (general),Desoutter,ELS30-300-A,Atornillador angular / Winkelschrauber,en el servicio / im Betrieb
1017,200266,200266,Destornilladores (general),Desoutter,ELS30-300-A,Atornillador angular / Winkelschrauber,en el servicio / im Betrieb
1018,200267,200267,Destornilladores (general),Desoutter,ELS30-300-A,Atornillador angular / Winkelschrauber,en mantenimiento / Wartung/Rep
1019,200268,200268,Destornilladores (general),Desoutter,ELS30-300-A,Atornillador angular / Winkelschrauber,en mantenimiento / Wartung/Rep
102,09060927,09060927,Destornillador EC,AMT,HCX1039WV38,Atornillador angular / Winkelschrauber,en el servicio / im Betrieb
1020,200269,200269,Destornilladores (general),Desoutter,ELS30-300-A,Atornillador angular / Winkelschrauber,en el servicio / im Betrieb
1021,200270,200270,Destornilladores (general),Desoutter,ELS30-300-A,Atornillador angular / Winkelschrauber,en mantenimiento / Wartung/Rep
1022,200271,200271,Destornilladores (general),Desoutter,ELS30-300-A,Atornillador angular / Winkelschrauber,en el servicio / im Betrieb
1023,200272,200272,Destornilladores (general),Desoutter,ELS30-300-A,Atornillador angular / Winkelschrauber,en mantenimiento / Wartung/Rep
1024,200273,200273,Destornilladores (general),Desoutter,ELS30-300-A,Atornillador angular / Winkelschrauber,en mantenimiento / Wartung/Rep
1025,200274,200274,Destornilladores (general),Desoutter,ELS7-880-A,Atornillador angular / Winkelschrauber,en el servicio / im Betrieb
